,id,name,symbol,Dstr,Dend,Dendtime,rnk
0,btc-bitcoin,Bitcoin,BTC,2010-07-17,2022-03-29,13:14:56Z,1
1,eth-ethereum,Ethereum,ETH,2015-08-07,2022-03-29,13:14:56Z,2
2,usdt-tether,Tether,USDT,2015-02-25,2022-03-29,13:14:56Z,3
3,bnb-binance-coin,Binance Coin,BNB,2017-07-25,2022-03-29,13:14:56Z,4
4,usdc-usd-coin,USD Coin,USDC,2018-10-09,2022-03-29,13:14:56Z,5
5,hex-hex,HEX,HEX,2019-12-14,2022-03-29,13:14:56Z,6
6,xrp-xrp,XRP,XRP,2013-08-04,2022-03-29,13:14:56Z,7
7,ada-cardano,Cardano,ADA,2017-10-01,2022-03-29,13:14:56Z,8
8,luna-terra,Terra,LUNA,2019-08-07,2022-03-29,13:14:56Z,9
9,sol-solana,Solana,SOL,2020-08-26,2022-03-29,13:14:56Z,10
10,avax-avalanche,Avalanche,AVAX,2020-08-07,2022-03-29,13:14:56Z,11
11,doge-dogecoin,Dogecoin,DOGE,2013-12-15,2022-03-29,13:14:56Z,12
12,dot-polkadot,Polkadot,DOT,2020-08-21,2022-03-29,13:14:56Z,13
13,busd-binance-usd,Binance USD,BUSD,2019-09-20,2022-03-29,13:14:56Z,14
14,ust-terrausd,TerraUSD,UST,2020-12-15,2022-03-29,13:14:56Z,15
15,shib-shiba-inu,Shiba Inu,SHIB,2021-05-10,2022-03-29,13:14:56Z,16
16,matic-polygon,Polygon,MATIC,2019-04-29,2022-03-29,13:14:56Z,17
17,wbtc-wrapped-bitcoin,Wrapped Bitcoin,WBTC,2019-01-31,2022-03-29,13:14:56Z,18
18,steth-lido-staked-ether,Lido Staked Ether,STETH,2021-08-12,2022-03-29,13:14:57Z,19
19,ltc-litecoin,Litecoin,LTC,2011-10-13,2022-03-29,13:14:56Z,20
20,atom-cosmos,Cosmos,ATOM,2019-03-15,2022-03-29,13:14:56Z,21
21,near-near-protocol,Near Protocol,NEAR,2020-12-15,2022-03-29,13:14:56Z,22
22,cro-cryptocom-chain,Crypto.com Coin,CRO,2018-12-14,2022-03-29,13:14:56Z,23
